date,userID,itemID,order,label
2020-12-01,40058,860,1,0
2020-12-01,44334,11344,1,0
2020-12-01,17410,4049,1,0
2020-12-01,8713,25993,1,0
2020-12-01,12889,9376,1,0
2020-12-01,17983,1732,1,0
2020-12-01,45929,29263,2,4
2020-12-01,37800,20929,1,0
2020-12-01,4504,3423,1,0
2020-12-01,32709,20478,1,0
2020-12-01,18514,4125,1,0
2020-12-01,8713,19129,1,0
2020-12-01,6543,16529,1,0
2020-12-01,23310,8734,1,0
2020-12-01,21310,8690,1,0
2020-12-01,11584,5221,1,0
2020-12-01,45929,30687,1,0
2020-12-01,36243,2296,1,0
2020-12-01,20736,5540,1,0
2020-12-01,26696,31400,1,0
2020-12-01,23310,5654,1,0
2020-12-01,8147,6654,4,0
2020-12-01,18640,32384,1,0
2020-12-01,2464,21163,3,0
2020-12-01,4224,18829,1,0
2020-12-01,2424,29419,1,0
2020-12-01,11584,3975,1,0
2020-12-01,25758,19336,1,0
2020-12-01,21160,26227,1,0
2020-12-01,2464,20131,1,0
2020-12-01,5774,3039,1,0
2020-12-01,36943,12528,2,0
2020-12-01,197,4604,1,0
2020-12-01,5774,32259,1,0
2020-12-01,45929,1998,1,4
2020-12-01,18514,4424,1,0
2020-12-01,4742,24972,2,0
2020-12-01,18640,4473,1,0
2020-12-01,45826,18038,3,0
2020-12-01,35482,5464,1,0
2020-12-01,17273,9937,1,0
2020-12-01,30082,7794,1,0
2020-12-01,23310,11064,1,0
2020-12-01,26709,16494,1,0
2020-12-01,24807,17175,1,0
2020-12-01,39247,5221,1,0
2020-12-01,12834,18350,1,0
2020-12-01,33483,21316,1,0
2020-12-01,45929,18675,1,0
2020-12-01,35427,28361,1,0
2020-12-01,11363,9658,1,0
2020-12-01,2464,10299,1,0
2020-12-01,36243,24238,1,0
2020-12-01,44334,13390,1,0
2020-12-01,19785,24607,1,0
2020-12-01,25758,18630,1,0
2020-12-01,22560,20770,1,0
2020-12-01,27884,29003,1,0
2020-12-01,2747,4601,1,0
2020-12-01,18640,444,1,0
2020-12-01,8713,29151,1,0
2020-12-01,23310,17794,2,0
2020-12-01,21310,25422,1,0
2020-12-01,8713,31796,1,0
2020-12-01,38393,6162,1,0
2020-12-01,32711,7125,1,0
2020-12-01,40216,17476,1,0
2020-12-01,40216,17677,1,0
2020-12-01,32711,5591,1,0
2020-12-01,25427,2559,1,0
2020-12-01,2283,10299,2,3
2020-12-01,27611,22519,1,0
2020-12-01,6543,30776,2,0
2020-12-01,15558,9985,1,0
2020-12-01,42550,15814,1,0
2020-12-01,40216,24991,2,0
2020-12-01,17021,11415,2,0
2020-12-01,19785,18154,2,0
2020-12-01,37800,3343,1,0
2020-12-01,27611,2692,1,0
2020-12-01,39263,2001,1,0
2020-12-01,35427,26718,1,0
2020-12-01,14279,19552,1,0
2020-12-01,38890,27968,4,0
2020-12-01,36243,20980,1,0
2020-12-01,35297,1782,2,0
2020-12-01,2654,637,1,0
2020-12-01,38865,11265,1,0
2020-12-01,25757,21240,1,0
2020-12-01,39536,9761,1,0
2020-12-01,44334,23066,3,0
2020-12-01,25757,3113,2,0
2020-12-01,17410,31013,1,0
2020-12-01,25427,29225,1,0
2020-12-01,14244,11514,1,0
2020-12-01,40216,1277,1,0
2020-12-01,40216,16059,1,0
2020-12-01,20676,21146,1,0
2020-12-01,33843,8647,1,0
2020-12-01,14235,30173,2,0
2020-12-01,38890,9941,1,0
2020-12-01,1217,8371,3,0
2020-12-01,45929,16276,2,0
2020-12-01,27449,29657,3,0
2020-12-01,8713,6909,1,0
2020-12-01,31074,434,1,0
2020-12-01,6543,25993,1,0
2020-12-01,2424,27635,1,0
2020-12-01,43510,29331,1,0
2020-12-01,11781,18982,1,0
2020-12-01,25427,17562,1,0
2020-12-01,22815,8951,2,0
2020-12-01,18640,4765,1,0
2020-12-01,11781,18279,1,0
2020-12-01,31074,9397,1,0
2020-12-01,4395,23468,1,0
2020-12-01,11584,24236,1,0
2020-12-01,38890,5854,1,0
2020-12-01,40216,9181,2,0
2020-12-01,40216,8708,1,0
2020-12-01,24166,23472,2,0
2020-12-01,25701,18846,1,0
2020-12-01,4395,15180,1,0
2020-12-01,3808,30705,1,0
2020-12-01,24646,5678,1,0
2020-12-01,32711,26470,1,0
2020-12-01,26585,23833,1,0
2020-12-01,18517,23726,3,0
2020-12-01,43847,31044,1,0
2020-12-01,27449,19281,3,0
2020-12-01,16666,17956,1,0
2020-12-01,40216,28347,1,0
2020-12-01,32711,21894,1,0
2020-12-01,40216,486,1,0
2020-12-01,4669,4832,2,0
2020-12-01,33483,19336,1,0
2020-12-01,21310,12246,1,0
2020-12-01,40216,7420,1,0
2020-12-01,27449,24973,1,0
2020-12-01,27611,14233,1,0
2020-12-01,38865,19441,1,0
2020-12-01,35051,26959,1,0
2020-12-01,40589,17022,1,0
2020-12-01,10733,24557,1,0
2020-12-01,38114,31702,1,0
2020-12-01,33484,16820,1,0
2020-12-01,42075,1220,1,0
2020-12-01,40753,16260,1,0
2020-12-01,25008,15423,1,0
2020-12-01,36943,18524,1,0
2020-12-01,34722,19852,1,0
2020-12-01,4698,6971,1,0
2020-12-01,1118,25802,1,0
2020-12-01,23241,6890,4,1
2020-12-01,24780,19932,1,0
2020-12-01,25008,16059,1,0
2020-12-01,44459,27170,1,0
2020-12-01,25008,24065,2,0
2020-12-01,18602,22587,1,0
2020-12-01,35427,4063,1,0
2020-12-01,18517,1867,1,0
2020-12-01,45826,27010,1,0
2020-12-01,13630,27157,1,0
2020-12-01,21857,14481,1,0
2020-12-01,39898,15483,1,0
2020-12-01,38173,8705,1,0
2020-12-01,39534,22280,2,0
2020-12-01,15608,18630,2,0
2020-12-01,8730,5209,2,0
2020-12-01,40589,18630,1,0
2020-12-01,12036,14833,1,0
2020-12-01,23965,16199,1,0
2020-12-01,44459,26660,1,0
2020-12-01,22550,20681,1,0
2020-12-01,15608,6822,1,0
2020-12-01,22550,18709,1,0
2020-12-01,2730,16972,1,0
2020-12-01,26168,31852,1,0
2020-12-01,10400,18630,1,0
2020-12-01,39898,19649,1,0
2020-12-01,44459,30626,1,0
2020-12-01,39424,12964,1,0
2020-12-01,5388,26332,1,0
2020-12-01,23963,13027,1,0
2020-12-01,17962,17317,1,0
2020-12-01,45454,20479,1,0
2020-12-01,29876,31702,1,0
2020-12-01,12627,20515,2,0
2020-12-01,8731,13436,1,0
2020-12-01,27826,8341,1,0
2020-12-01,25758,5189,1,0
2020-12-01,8903,13562,1,0
2020-12-01,7788,23874,1,0
2020-12-01,18194,19305,3,0
2020-12-01,12893,3061,1,0
2020-12-01,41800,30271,1,0
2020-12-01,22547,5468,1,0
2020-12-01,808,18796,1,0
2020-12-01,44459,6792,1,0
2020-12-01,43851,26452,1,0
2020-12-01,37957,489,1,0
2020-12-01,37045,10641,2,0
2020-12-01,45929,461,1,4
2020-12-01,39424,10376,1,0
2020-12-01,13361,19600,1,0
